,graph,avg_recall_drop,size,variance
0,LocalReconnectHNSWGraph,0.6090000000000001,10000,0.024519000000000003
1,NaiveDeleteHNSWGraph,0.5865,10000,0.02456775
2,NaiveDeleteHNSWGraph,0.614,10000,0.028704000000000004
3,NaiveDeleteHNSWGraph,0.6225,10000,0.024743750000000002
4,NaiveDeleteHNSWGraph,0.5875,10000,0.024593749999999998
5,LocalReconnectHNSWGraph,0.606,10000,0.026664
6,LocalReconnectHNSWGraph,0.609,10000,0.024219
7,NaiveDeleteHNSWGraph,0.595,10000,0.022975000000000002
8,NaiveDeleteHNSWGraph,0.627,10000,0.025371
9,LocalReconnectHNSWGraph,0.5855,10000,0.03153975
10,LocalReconnectHNSWGraph,0.5884999999999999,10000,0.02471775
11,LocalReconnectHNSWGraph,0.6014999999999999,10000,0.02024775
12,NaiveDeleteHNSWGraph,0.618,10000,0.020676
13,LocalReconnectHNSWGraph,0.619,10000,0.023539000000000004
14,NaiveDeleteHNSWGraph,0.579,10000,0.029859
15,NaiveDeleteHNSWGraph,0.6004999999999999,10000,0.02094975
16,LocalReconnectHNSWGraph,0.597,10000,0.021890999999999997
17,NaiveDeleteHNSWGraph,0.5985,10000,0.024147750000000003
18,LocalReconnectHNSWGraph,0.5884999999999999,10000,0.028317750000000003
19,LocalReconnectHNSWGraph,0.591,10000,0.025419
20,NaiveDeleteHNSWGraph,0.49449999999999994,20000,0.02661975
21,NaiveDeleteHNSWGraph,0.46399999999999997,20000,0.029604
22,LocalReconnectHNSWGraph,0.479,20000,0.024658999999999997
23,LocalReconnectHNSWGraph,0.469,20000,0.028838999999999997
24,NaiveDeleteHNSWGraph,0.4595,20000,0.023209749999999998
25,LocalReconnectHNSWGraph,0.4465,20000,0.02868775
26,NaiveDeleteHNSWGraph,0.4595,20000,0.024309749999999998
27,NaiveDeleteHNSWGraph,0.461,20000,0.030978999999999996
28,LocalReconnectHNSWGraph,0.458,20000,0.024335999999999997
29,NaiveDeleteHNSWGraph,0.4585,20000,0.028827749999999996
30,LocalReconnectHNSWGraph,0.4605,20000,0.025889749999999996
31,LocalReconnectHNSWGraph,0.452,20000,0.023495999999999996
32,NaiveDeleteHNSWGraph,0.457,20000,0.033551
33,NaiveDeleteHNSWGraph,0.465,20000,0.027274999999999997
34,LocalReconnectHNSWGraph,0.436,20000,0.029003999999999995
35,LocalReconnectHNSWGraph,0.486,20000,0.026903999999999994
36,NaiveDeleteHNSWGraph,0.4610000000000001,20000,0.023778999999999998
37,NaiveDeleteHNSWGraph,0.4695,20000,0.026719749999999997
38,LocalReconnectHNSWGraph,0.4395,20000,0.026389749999999993
39,LocalReconnectHNSWGraph,0.4635,20000,0.028817749999999996
40,NaiveDeleteHNSWGraph,0.4,30000,0.021599999999999998
41,LocalReconnectHNSWGraph,0.413,30000,0.025330999999999992
42,NaiveDeleteHNSWGraph,0.39150000000000007,30000,0.02847775
43,LocalReconnectHNSWGraph,0.40700000000000003,30000,0.026851
44,NaiveDeleteHNSWGraph,0.40049999999999997,30000,0.029549749999999996
45,LocalReconnectHNSWGraph,0.38299999999999995,30000,0.031511
46,NaiveDeleteHNSWGraph,0.377,30000,0.024171
47,LocalReconnectHNSWGraph,0.3865,30000,0.024267749999999998
48,NaiveDeleteHNSWGraph,0.4075,30000,0.02529375
49,NaiveDeleteHNSWGraph,0.374,30000,0.029824000000000003
50,LocalReconnectHNSWGraph,0.4,30000,0.0269
51,LocalReconnectHNSWGraph,0.37450000000000006,30000,0.03149975
