,size,visited,search_distance_computations,links_added,shrinks_distance_computations
0,0,0,0,0,0
1,0,1,1,0,0
2,1,2,2,0,0
3,2,3,3,0,0
4,3,4,4,0,0
5,4,5,5,0,0
6,5,6,6,0,0
7,6,7,7,0,0
8,7,8,8,0,0
9,8,9,9,0,0
10,9,10,10,0,0
11,10,11,11,0,0
12,11,12,12,0,0
13,12,13,13,0,0
14,13,14,14,0,0
15,14,15,15,0,0
16,15,16,16,0,0
17,16,17,17,0,0
18,17,18,18,0,0
19,18,19,19,0,0
20,19,20,20,0,0
21,20,21,21,0,420
22,21,23,23,0,420
23,22,23,23,0,420
24,23,24,24,0,420
25,24,25,25,0,420
26,25,26,26,0,420
27,26,27,27,0,420
28,27,28,28,0,420
29,28,29,29,0,420
30,29,32,32,0,420
31,30,31,31,0,420
32,31,32,32,0,420
33,32,33,33,0,420
34,33,34,34,0,420
35,34,35,35,0,420
36,35,36,36,0,420
37,36,37,37,0,420
38,37,38,38,0,420
39,38,39,39,0,420
40,39,40,40,0,420
41,40,41,41,0,420
42,41,42,42,0,420
43,42,41,43,0,420
44,43,41,44,0,420
45,44,41,45,0,420
46,45,41,46,0,420
47,46,42,47,0,420
48,47,41,48,0,420
49,48,41,49,0,420
50,49,41,50,0,420
51,50,42,51,0,420
52,51,44,55,0,420
53,52,41,53,0,420
54,53,41,54,0,420
55,54,42,55,0,420
56,55,42,56,0,420
57,56,42,57,0,420
58,57,41,58,0,420
59,58,41,59,0,420
60,59,41,60,0,420
61,60,42,61,0,420
62,61,41,62,0,420
63,62,42,63,0,420
64,63,42,64,0,420
65,64,42,65,0,420
66,65,41,66,0,420
67,66,41,67,0,420
68,67,42,68,0,420
69,68,41,69,0,420
70,69,42,70,0,420
71,70,41,71,0,420
72,71,42,72,0,420
73,72,41,73,0,420
74,73,41,74,0,420
75,74,42,75,0,420
76,75,41,76,0,420
77,76,45,81,0,420
78,77,42,78,0,420
79,78,42,79,0,420
80,79,41,80,0,420
81,80,42,81,0,420
82,81,42,82,0,420
83,82,42,83,0,420
84,83,42,84,0,420
85,84,41,85,0,420
86,85,42,86,0,420
87,86,42,87,0,420
88,87,42,88,0,420
89,88,42,89,0,420
90,89,42,90,0,420
91,90,42,91,0,420
92,91,42,92,0,420
93,92,42,93,0,420
94,93,42,94,0,420
95,94,41,95,0,420
96,95,42,96,0,420
97,96,42,97,0,420
98,97,41,98,0,420
99,98,41,99,0,420
100,99,42,100,0,420
101,100,41,101,0,420
102,101,41,102,0,420
103,102,41,103,0,420
104,103,42,104,0,420
105,104,42,105,0,420
106,105,41,106,0,420
107,106,42,107,0,420
108,107,41,108,0,420
109,108,42,109,0,420
110,109,41,110,0,420
111,110,42,111,0,420
112,111,41,112,0,420
113,112,41,113,0,420
114,113,42,114,0,420
115,114,42,115,0,420
116,115,42,116,0,420
117,116,46,122,0,420
118,117,42,118,0,420
119,118,42,119,0,420
120,119,42,120,0,420
121,120,41,121,0,420
122,121,42,122,0,420
123,122,42,122,0,420
124,123,41,123,0,420
125,124,41,125,0,420
126,125,41,125,0,420
127,126,42,126,0,420
128,127,47,134,0,420
129,128,48,136,0,420
130,129,42,130,0,420
131,130,42,131,0,420
132,131,42,131,0,420
133,132,42,132,0,420
134,133,42,134,0,420
135,134,49,143,0,420
136,135,50,144,0,420
137,136,42,137,0,420
138,137,42,137,0,420
139,138,42,138,0,420
140,139,41,140,0,420
141,140,42,140,0,420
142,141,42,141,0,420
143,142,42,143,0,420
144,143,42,144,0,420
145,144,42,144,0,420
146,145,42,144,0,420
147,146,42,147,0,420
148,147,42,147,0,420
149,148,42,149,0,420
150,149,51,160,0,420
151,150,42,150,0,420
152,151,42,151,0,420
153,152,42,152,0,420
154,153,42,154,0,420
155,154,42,155,0,420
156,155,42,156,0,420
157,156,42,157,0,420
158,157,42,158,0,420
159,158,42,157,0,420
160,159,42,159,0,420
161,160,42,161,0,420
162,161,42,161,0,420
163,162,42,163,0,420
164,163,42,162,0,420
165,164,41,163,0,420
166,165,42,165,0,420
167,166,42,166,0,420
168,167,42,167,0,420
169,168,52,179,0,420
170,169,41,167,0,420
171,170,42,168,0,420
172,171,42,170,0,420
173,172,42,173,0,420
174,173,42,170,0,420
175,174,53,186,0,420
176,175,42,175,0,420
177,176,42,174,0,420
178,177,54,191,0,420
179,178,41,175,0,420
180,179,42,179,0,420
181,180,42,181,0,420
182,181,42,181,0,420
183,182,43,180,0,420
184,183,55,194,0,420
185,184,43,184,0,420
186,185,43,184,0,420
187,186,56,202,0,420
188,187,43,188,0,420
189,188,43,183,0,420
190,189,43,188,0,420
191,190,43,190,0,420
192,191,42,190,0,420
193,192,43,193,0,420
194,193,42,192,0,420
195,194,43,194,0,420
196,195,43,196,0,420
197,196,43,194,0,420
198,197,43,191,0,420
199,198,43,198,0,420
200,199,43,197,0,420
201,200,43,199,0,420
202,201,43,202,0,420
203,202,43,202,0,420
204,203,43,201,0,420
205,204,43,204,0,420
206,205,43,203,0,420
207,206,43,204,0,420
208,207,43,207,0,420
209,208,43,209,0,420
210,209,43,209,0,420
211,210,43,206,0,420
212,211,57,225,0,420
213,212,43,210,0,420
214,213,43,211,0,420
215,214,43,213,0,420
216,215,43,213,0,420
217,216,42,214,0,420
218,217,43,214,0,420
219,218,43,218,0,420
220,219,43,219,0,420
221,220,42,214,0,420
222,221,43,221,0,420
223,222,43,213,0,420
224,223,58,235,0,420
225,224,59,238,0,420
226,225,43,222,0,420
227,226,43,220,0,420
228,227,43,225,0,420
229,228,60,237,0,420
230,229,43,220,0,420
231,230,42,222,0,420
232,231,43,222,0,420
233,232,43,227,0,420
234,233,43,226,0,420
235,234,43,228,0,420
236,235,43,233,0,420
237,236,43,232,0,420
238,237,43,229,0,420
239,238,43,233,0,420
240,239,42,231,0,420
241,240,42,230,0,420
242,241,43,231,0,420
243,242,43,235,0,420
244,243,43,239,0,420
245,244,43,240,0,420
246,245,43,235,0,420
247,246,43,237,0,420
248,247,43,240,0,420
249,248,42,240,0,420
250,249,43,239,0,420
251,250,42,247,0,420
252,251,43,239,0,420
253,252,43,244,0,420
254,253,61,265,0,420
255,254,44,248,0,420
256,255,43,242,0,420
257,256,44,246,0,420
258,257,44,245,0,420
259,258,43,244,0,420
260,259,43,247,0,420
261,260,43,247,0,420
262,261,43,250,0,420
263,262,43,250,0,420
264,263,43,253,0,420
