,size,visited,search_distance_computations,links_added,shrinks_distance_computations
0,0,0,0,0,0
1,0,1,1,0,0
2,1,2,2,0,0
3,2,3,3,0,0
4,3,4,4,0,0
5,4,5,5,0,0
6,5,6,6,0,0
7,6,7,7,0,0
8,7,8,8,0,0
9,8,9,9,0,0
10,9,10,10,0,0
11,10,11,11,0,0
12,11,12,12,0,0
13,12,13,13,0,0
14,13,14,14,0,0
15,14,15,15,0,0
16,15,16,16,0,0
17,16,17,17,0,0
18,17,18,18,0,0
19,18,19,19,0,0
20,19,20,20,0,0
21,20,21,21,0,420
22,21,22,22,0,420
23,22,23,23,0,420
24,23,24,24,0,420
25,24,25,25,0,420
26,25,26,26,0,420
27,26,27,27,0,420
28,27,28,28,0,420
29,28,29,29,0,420
30,29,30,30,0,420
31,30,32,32,0,420
32,31,32,32,0,420
33,32,33,33,0,420
34,33,34,34,0,420
35,34,35,35,0,420
36,35,36,36,0,420
37,36,37,37,0,420
38,37,40,40,0,420
39,38,39,39,0,420
40,39,40,40,0,420
41,40,41,41,0,420
42,41,41,42,0,420
43,42,41,43,0,420
44,43,41,44,0,420
45,44,41,45,0,420
46,45,41,46,0,420
47,46,42,47,0,420
48,47,41,48,0,420
49,48,42,49,0,420
50,49,41,50,0,420
51,50,41,51,0,420
52,51,41,52,0,420
53,52,41,53,0,420
54,53,41,54,0,420
55,54,41,55,0,420
56,55,41,56,0,420
57,56,41,57,0,420
58,57,42,58,0,420
59,58,41,59,0,420
60,59,42,60,0,420
61,60,42,61,0,420
62,61,41,62,0,420
63,62,41,63,0,420
64,63,41,64,0,420
65,64,42,65,0,420
66,65,42,66,0,420
67,66,42,67,0,420
68,67,42,68,0,420
69,68,44,72,0,420
70,69,42,70,0,420
71,70,42,71,0,420
72,71,41,72,0,420
73,72,41,73,0,420
74,73,41,74,0,420
75,74,42,75,0,420
76,75,41,76,0,420
77,76,41,77,0,420
78,77,41,78,0,420
79,78,42,79,0,420
80,79,41,80,0,420
81,80,42,81,0,420
82,81,41,82,0,420
83,82,42,83,0,420
84,83,42,84,0,420
85,84,42,85,0,420
86,85,42,86,0,420
87,86,42,87,0,420
88,87,41,88,0,420
89,88,42,89,0,420
90,89,42,90,0,420
91,90,42,91,0,420
92,91,42,92,0,420
93,92,42,93,0,420
94,93,41,94,0,420
95,94,41,95,0,420
96,95,42,96,0,420
97,96,41,97,0,420
98,97,41,98,0,420
99,98,41,99,0,420
100,99,41,100,0,420
101,100,41,101,0,420
102,101,42,102,0,420
103,102,42,103,0,420
104,103,42,104,0,420
105,104,42,105,0,420
106,105,41,106,0,420
107,106,41,107,0,420
108,107,42,108,0,420
109,108,42,109,0,420
110,109,41,110,0,420
111,110,41,111,0,420
112,111,42,112,0,420
113,112,41,113,0,420
114,113,42,114,0,420
115,114,42,115,0,420
116,115,41,116,0,420
117,116,41,117,0,420
118,117,42,118,0,420
119,118,42,119,0,420
120,119,42,120,0,420
121,120,42,121,0,420
122,121,45,126,0,420
123,122,43,123,0,420
124,123,43,124,0,420
125,124,42,126,0,420
126,125,43,126,0,420
127,126,42,127,0,420
128,127,43,129,0,420
129,128,42,130,0,420
130,129,42,131,0,420
131,130,42,132,0,420
132,131,43,132,0,420
133,132,43,133,0,420
134,133,42,135,0,420
135,134,42,136,0,420
136,135,43,136,0,420
137,136,43,138,0,420
138,137,43,138,0,420
139,138,43,139,0,420
140,139,43,141,0,420
141,140,43,141,0,420
142,141,43,142,0,420
143,142,43,144,0,420
144,143,43,145,0,420
145,144,43,146,0,420
146,145,43,146,0,420
147,146,43,148,0,420
148,147,43,148,0,420
149,148,43,150,0,420
150,149,43,151,0,420
151,150,42,151,0,420
152,151,43,152,0,420
153,152,43,153,0,420
154,153,43,155,0,420
155,154,47,160,0,420
156,155,43,157,0,420
157,156,43,158,0,420
158,157,43,159,0,420
159,158,42,158,0,420
160,159,43,160,0,420
161,160,42,162,0,420
162,161,43,163,0,420
163,162,43,164,0,420
164,163,43,163,0,420
165,164,43,164,0,420
166,165,48,172,0,420
167,166,44,168,0,420
168,167,43,170,0,420
169,168,43,169,0,420
170,169,44,169,0,420
171,170,44,171,0,420
172,171,43,172,0,420
173,172,43,175,0,420
174,173,44,172,0,420
175,174,43,176,0,420
176,175,43,177,0,420
177,176,43,176,0,420
178,177,44,180,0,420
179,178,44,177,0,420
180,179,43,180,0,420
181,180,44,183,0,420
182,181,43,183,0,420
183,182,44,181,0,420
184,183,43,182,0,420
185,184,43,184,0,420
186,185,42,185,0,420
187,186,42,189,0,420
188,187,42,189,0,420
189,188,42,184,0,420
190,189,44,188,0,420
191,190,43,191,0,420
192,191,43,191,0,420
193,192,43,193,0,420
194,193,42,193,0,420
195,194,43,193,0,420
196,195,44,197,0,420
197,196,44,196,0,420
198,197,43,193,0,420
199,198,43,197,0,420
200,199,43,197,0,420
201,200,48,205,0,420
202,201,42,200,0,420
203,202,42,203,0,420
204,203,43,202,0,420
205,204,43,203,0,420
206,205,42,203,0,420
207,206,43,206,0,420
208,207,42,207,0,420
209,208,43,209,0,420
210,209,44,210,0,420
211,210,43,207,0,420
212,211,44,212,0,420
213,212,43,211,0,420
214,213,43,211,0,420
215,214,44,214,0,420
216,215,43,214,0,420
217,216,43,216,0,420
218,217,43,215,0,420
219,218,43,219,0,420
220,219,42,218,0,420
221,220,44,218,0,420
222,221,44,221,0,420
223,222,44,213,0,420
224,223,43,219,0,420
225,224,43,223,0,420
226,225,44,222,0,420
227,226,43,219,0,420
228,227,44,225,0,420
229,228,43,222,0,420
230,229,42,221,0,420
231,230,44,224,0,420
232,231,44,225,0,420
233,232,43,229,0,420
234,233,43,228,0,420
235,234,43,230,0,420
236,235,42,231,0,420
237,236,43,231,0,420
238,237,44,232,0,420
239,238,43,231,0,420
240,239,43,234,0,420
241,240,49,238,0,420
242,241,43,232,0,420
243,242,43,236,0,420
244,243,42,239,0,420
245,244,43,240,0,420
246,245,43,236,0,420
247,246,43,239,0,420
248,247,44,240,0,420
249,248,44,242,0,420
250,249,44,238,0,420
251,250,43,249,0,420
252,251,51,249,0,420
253,252,44,245,0,420
254,253,43,246,0,420
255,254,44,248,0,420
256,255,43,244,0,420
257,256,45,245,0,420
258,257,45,244,0,420
259,258,42,243,0,420
260,259,44,249,0,420
261,260,43,249,0,420
262,261,43,248,0,420
263,262,43,251,0,420
264,263,43,252,0,420
